A10_S10	A11_S11	A12_S12	A1_S1	A2_S2	A3_S3	A4_S4	A5_S5	A6_S6	A7_S7	A8_S8	A9_S9	B10_S22	B11_S23	B12_S24	B1_S13	B2_S14	B3_S15	B4_S16	B5_S17	B6_S18	B7_S19	B8_S20	B9_S21	C10_S34	C11_S35	C12_S36	C1_S25	C2_S26	C3_S27	C4_S28	C5_S29	C6_S30	C7_S31	C8_S32	C9_S33	D10_S46	D11_S47	D12_S48	D1_S37	D2_S38	D3_S39	D4_S40	D5_S41	D6_S42	D7_S43	D8_S44	D9_S45	E10_S58	E11_S59	E12_S60	E1_S49	E2_S50	E3_S51	E4_S52	E5_S53	E6_S54	E7_S55	E8_S56	E9_S57	F10_S70	F11_S71	F12_S72	F1_S61	F2_S62	F3_S63	F4_S64	F5_S65	F6_S66	F7_S67	F8_S68	F9_S69	G10_S82	G11_S83	G12_S84	G1_S73	G2_S74	G3_S75	G4_S76	G5_S77	G6_S78	G7_S79	G8_S80	G9_S81	H10_S94	H11_S95	H12_S96	H1_S85	H2_S86	H3_S87	H4_S88	H5_S89	H6_S90	H7_S91	H8_S92	H9_S93	Undetermined_S0
ASV_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3170	0	0	0	3818	0	0	0	0	0	0	0	0	0	0	0	2177	0	0	0	0	78687	0	0	1036	0	0	0	0	0	0	0	0	0	0	0	5864	0	0	0	0	0	0	0	0
ASV_2	0	0	6407	0	0	6376	0	0	0	0	0	5172	4276	0	6217	0	0	0	0	0	0	12988	0	0	0	0	15046	0	0	0	0	2339	0	10390	0	0	781	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3	0	15603	0	0	0	0	2105	0	0	0	0	0	0	0	0	1811	0	0	3493	0	0	0	4996	0	0	0	0	0	5364	0	0	0	0	0	4549	0	0	0	0	0	10227	0	0	0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3714
ASV_4	0	6377	0	0	0	0	0	0	0	0	0	0	0	2433	0	2005	6109	0	0	0	6255	0	0	0	0	0	0	0	6467	0	0	0	923	0	0	0	0	2721	0	0	10436	0	0	0	4277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8149	0	0	0	0	0	0	10257	0	0	0	10885	5414	0	0	0	0	0	0	3481	0	0	0	0	3613	0	0	0	0	0	0	2999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	2	0	0	0	2513	0	0	0	0	0	0	0	7673	0	0	0	3248	1801	0	0	0	0	0	0	5674	0	0	0	3816	957	0	0	0	0	0	0	14556	0	0	0	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2487
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12296	0	0	0	22430	0	0	0	0	0	0	0	4494	0	0	0	2127	0	0
ASV_8	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	6559	0	0	0	0	400	0	0	1960	0	0	0	3027	0	0	0	0	0	0	0	28750	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	29	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	4660	0	0	0	0	0	0	0	0	0	0	0	11064	5	0	0	0	0	0	0	7864	0	0	0	16185	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3475	0	0	0	0	0	0	0	0	8450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17555	0	0	0	0	1969	0	0	8072	0	0	0	0	0	0	0
